Year,End_Use,Energy_ktoe,Population,Households,Inhabitants per household,HDD,CDD,GDP,Expenditure,Energy_Lag1,Tech_Advanced electric heating,Tech_Air conditioning,Tech_Biomass,Tech_Conventional electric heating,Tech_Diesel oil,Tech_Distributed heat,Tech_Electricity,Tech_Electricity in circulation,Tech_Geothermal,Tech_Liquified petroleum gas (LPG),Tech_Natural gas,Tech_Solar,Tech_Solids
2001,Cooking,2709.503647,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,2603.127898,False,False,False,False,False,False,True,False,False,False,False,False,False
2001,Cooking,77.14894562,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,75.09996805,False,False,False,False,False,False,False,False,False,False,True,False,False
2001,Space cooling,49.6473295,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,49.76589487,False,True,False,False,False,False,False,False,False,False,False,False,False
2001,Space heating,119.3348926,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,91.03183614,True,False,False,False,False,False,False,False,False,False,False,False,False
2001,Space heating,3908.514351,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,3840.225618,False,False,True,False,False,False,False,False,False,False,False,False,False
2001,Space heating,186.3840985,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,162.9334677,False,False,False,True,False,False,False,False,False,False,False,False,False
2001,Space heating,18959.80097,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,16476.62666,False,False,False,False,True,False,False,False,False,False,False,False,False
2001,Space heating,5494.95262,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,5389.732826,False,False,False,False,False,True,False,False,False,False,False,False,False
2001,Space heating,590.3918146,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,544.3198161,False,False,False,False,False,False,False,True,False,False,False,False,False
2001,Space heating,0.0,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False
2001,Space heating,773.8565346,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,756.0225206,False,False,False,False,False,False,False,False,False,True,False,False,False
2001,Space heating,21336.33474,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,20138.71573,False,False,False,False,False,False,False,False,False,False,True,False,False
2001,Space heating,892.2729149,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,918.3542562,False,False,False,False,False,False,False,False,False,False,False,False,True
2001,Water heating,192.4696555,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,187.4088623,False,False,True,False,False,False,False,False,False,False,False,False,False
2001,Water heating,2593.958449,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,2319.537483,False,False,False,False,True,False,False,False,False,False,False,False,False
2001,Water heating,530.890544,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,540.4286533,False,False,False,False,False,True,False,False,False,False,False,False,False
2001,Water heating,1258.480683,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,1268.21822,False,False,False,False,False,False,True,False,False,False,False,False,False
2001,Water heating,0.0,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False
2001,Water heating,118.6389083,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,130.824255,False,False,False,False,False,False,False,False,False,True,False,False,False
2001,Water heating,3315.471605,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,3227.22042,False,False,False,False,False,False,False,False,False,False,True,False,False
2001,Water heating,125.4418745,82259540.0,38317671.0,2.14677818,3423.87,0.93,3349036.49,1871497.485,96.82811694,False,False,False,False,False,False,False,False,False,False,False,True,False
